name,url,description,duration_minutes,test_type
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,We recommend upgrading to a modern browser.,60.0,Unknown
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,We recommend upgrading to a modern browser.,60.0,Unknown
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,We recommend upgrading to a modern browser.,60.0,Unknown
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,We recommend upgrading to a modern browser.,60.0,Unknown
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,We recommend upgrading to a modern browser.,60.0,Unknown
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,We recommend upgrading to a modern browser.,60.0,Unknown
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,We recommend upgrading to a modern browser.,60.0,Unknown
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,We recommend upgrading to a modern browser.,60.0,Unknown
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,We recommend upgrading to a modern browser.,60.0,Unknown
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,We recommend upgrading to a modern browser.,60.0,Unknown
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,We recommend upgrading to a modern browser.,60.0,Unknown
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,We recommend upgrading to a modern browser.,60.0,Unknown
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,We recommend upgrading to a modern browser.,60.0,Unknown
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,We recommend upgrading to a modern browser.,60.0,Unknown
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,We recommend upgrading to a modern browser.,60.0,Unknown
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,We recommend upgrading to a modern browser.,60.0,Unknown
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,We recommend upgrading to a modern browser.,60.0,Unknown
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,We recommend upgrading to a modern browser.,60.0,Unknown
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,We recommend upgrading to a modern browser.,60.0,Unknown
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,We recommend upgrading to a modern browser.,60.0,Unknown
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,We recommend upgrading to a modern browser.,60.0,Unknown
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,We recommend upgrading to a modern browser.,60.0,Unknown
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,We recommend upgrading to a modern browser.,60.0,Unknown
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,We recommend upgrading to a modern browser.,60.0,Unknown
